open_time,volume,open,high,low,close
1639196100,176.912,48439.0,48460.0,48300.0,48322.5
1639197000,135.724,48322.5,48441.0,48300.0,48347.5
1639197900,233.346,48347.5,48590.0,48347.0,48511.0
1639198800,146.09,48511.0,48571.0,48452.5,48462.5
1639199700,198.603,48462.5,48466.0,48365.5,48465.5
1639200600,154.875,48465.5,48500.0,48438.5,48490.5
1639201500,410.954,48490.5,48532.0,48227.5,48299.0
1639202400,869.041,48299.0,48970.0,48221.0,48775.0
1639203300,680.471,48775.0,48804.0,48280.0,48318.0
1639204200,486.885,48318.0,48388.0,48127.5,48345.0
1639205100,818.009,48345.0,48345.0,48020.0,48043.5
1639206000,257.588,48043.5,48120.0,48000.0,48083.5
1639206900,271.348,48083.5,48149.0,47966.5,47993.0
1639207800,724.654,47993.0,48133.5,47750.5,48033.5
1639208700,220.237,48033.5,48174.0,48016.0,48052.0
1639209600,432.84,48052.0,48123.5,47755.0,48095.0
1639210500,1100.037,48095.0,48853.5,48095.0,48849.5
1639211400,748.537,48849.5,48900.0,48397.0,48492.5
1639212300,440.047,48492.5,48503.5,48283.5,48396.0
1639213200,452.19,48396.0,48430.0,48145.0,48235.0
1639214100,340.817,48235.0,48443.5,48235.0,48414.5
1639215000,136.696,48414.5,48496.0,48395.0,48475.0
1639215900,301.876,48475.0,48622.0,48333.0,48535.0
1639216800,271.063,48535.0,48581.5,48395.0,48395.5
1639217700,181.427,48395.5,48450.0,48341.0,48437.5
1639218600,165.543,48437.5,48512.0,48415.0,48462.5
1639219500,137.134,48462.5,48517.5,48380.5,48380.5
1639220400,262.509,48380.5,48451.0,48269.0,48435.0
1639221300,265.486,48435.0,48435.5,48160.5,48235.5
1639222200,122.487,48235.5,48298.5,48187.5,48290.0
1639223100,172.022,48290.0,48315.0,48175.0,48217.5
1639224000,256.965,48217.5,48420.0,48196.0,48382.0
1639224900,256.092,48382.0,48567.0,48320.5,48485.0
1639225800,139.111,48485.0,48547.0,48430.0,48547.0
1639226700,126.49,48547.0,48547.0,48455.5,48500.0
1639227600,1225.844,48500.0,48901.0,48207.0,48255.0
1639228500,344.621,48255.0,48510.0,48208.0,48421.5
1639229400,221.441,48421.5,48577.5,48416.5,48424.0
1639230300,325.346,48424.0,48424.5,48228.0,48340.0
1639231200,330.997,48340.0,48379.5,48156.5,48282.5
1639232100,235.291,48282.5,48337.5,48214.5,48308.5
1639233000,245.202,48308.5,48415.5,48216.0,48415.5
1639233900,416.804,48415.5,48530.0,48363.0,48465.5
1639234800,331.433,48465.5,48615.5,48435.0,48451.0
1639235700,184.609,48451.0,48575.0,48440.0,48540.0
1639236600,273.428,48540.0,48676.0,48540.0,48613.5
1639237500,302.965,48613.5,48754.0,48570.0,48754.0
1639238400,934.26,48754.0,49169.0,48690.5,48919.0
1639239300,772.291,48919.0,49249.0,48876.5,49127.0
1639240200,524.337,49127.0,49238.5,49028.0,49142.0
1639241100,488.212,49142.0,49142.5,48921.0,48985.5
1639242000,447.458,48985.5,49012.0,48766.0,48865.0
1639242900,146.822,48865.0,48948.0,48841.5,48926.5
1639243800,124.358,48926.5,48944.0,48813.5,48841.5
1639244700,392.316,48841.5,48860.0,48531.5,48691.0
1639245600,254.043,48691.0,48812.0,48618.0,48654.0
1639246500,259.325,48654.0,48654.0,48551.5,48583.5
1639247400,169.046,48583.5,48778.0,48583.0,48716.0
1639248300,214.47,48716.0,48863.5,48638.0,48638.5
